_id,latest_count_id,latest_count_type,latest_count_date_start,latest_count_date_end,latest_count_duration,location_name,longitude,latitude,centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_start,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_start,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
60,3015313,ATR_SPEED_VOLUME,2026-01-20,2026-01-22,72,Sandhurst Crcl: Chartland Blvd S - Posthorn Grv,-79.26801,43.80533500000001,104531,2222.3,2222.3,,08:00:00,238,17:15:00,199,33.3,41.3,49.8,
61,3015251,ATR_SPEED_VOLUME,2026-01-20,2026-01-22,72,Brookshire Blvd: Lanewood Cres - Blairwood Ter,-79.32594413641783,43.803354136417816,104810,341.7,341.7,,08:15:00,45,18:00:00,30,29.3,38.4,44,
62,3014976,ATR_SPEED_VOLUME,2026-01-20,2026-01-22,72,Senlac Rd: Churchill Ave - Horsham Ave,-79.42787000000001,43.77096,438812,7233,7233,,08:15:00,638,16:15:00,747,37.3,43.9,48.5,
63,3014978,ATR_SPEED_VOLUME,2025-12-16,2025-12-18,72,Isabella St: Huntley St - Sherbourne St,-79.376935,43.669405,7753839,4790.7,4790.7,,08:45:00,374,15:15:00,344,30.7,38.3,43.5,
64,3014971,ATR_SPEED_VOLUME,2025-12-16,2025-12-18,72,Plains Rd: Milton Rd - Durant Ave,-79.33145000000002,43.695370000000004,1176,1709.3,1709.3,,08:15:00,175,16:15:00,194,29.9,37.4,41.9,
65,3014972,ATR_SPEED_VOLUME,2025-12-16,2025-12-18,72,Thirty First St: Birchlea Ave - Ash Cres,-79.52952885706299,43.5932668576221,6738361,955,955,,07:45:00,113,14:30:00,84,33,41.2,52.5,
66,3014954,ATR_SPEED_VOLUME,2025-12-16,2025-12-18,72,O'Connor Dr: Milton Rd - Lankin Blvd,-79.33137,43.697345000000006,1031,36660.7,36660.7,,09:15:00,2052,14:15:00,2301,42.7,51.4,56.8,
67,3014973,ATR_SPEED_VOLUME,2025-12-16,2025-12-18,72,Blake St to Kempton Howard Park Trl,-79.33984000000001,43.676315,30148492,662.7,662.7,,08:00:00,75,17:00:00,70,26,34.8,43.7,
68,3014957,ATR_SPEED_VOLUME,2025-12-16,2025-12-18,72,Lawrence Ave W: Englemount Ave - Shermount Ave,-79.43983,43.717035,9234642,30743.3,30743.3,,08:00:00,1911,18:00:00,1981,41.7,53.2,58.5,
69,3014975,ATR_SPEED_VOLUME,2025-12-16,2025-12-18,72,Caledonia Rd: Rogers Rd - Lane S of Corby and W of Caledonia,-79.45827500000001,43.683685000000004,14072354,15370.3,15370.3,,07:45:00,1037,14:15:00,1061,34.3,44.4,52.4,
70,3014966,ATR_SPEED_VOLUME,2025-12-16,2025-12-18,72,Eireann Quay: Little Norway Park Trl - Bathurst St,-79.39819500000002,43.635525,30102413,5380,5380,,06:45:00,377,15:00:00,317,24.8,34.1,39.1,
71,3014960,ATR_SPEED_VOLUME,2025-12-16,2025-12-18,72,Mortimer Ave: Carlaw Ave - Lane W of East York and S of Mortimer,-79.34922,43.685430000000004,20042845,12252,12252,,09:15:00,758,16:15:00,967,27.5,38.8,43.8,
72,3014974,ATR_SPEED_VOLUME,2025-12-09,2025-12-11,72,Bloor St W: Markland Dr - Mapledawn Rd,-79.57210880973201,43.63319545927706,912782,19952.7,19952.7,,08:15:00,1324,16:45:00,1757,45.4,53.4,59.3,
